ANONYMOUS_ID,TOKEN,PRODUCTS,TIMESTAMP
'e175583f3bb5a1949e9005705477d7ee','db30dddf40e2929e9cc70d087f94a5a0','','2023-09-15T23:18:43Z'
'e175583f3bb5a1949e9005705477d7ee','db30dddf40e2929e9cc70d087f94a5a0',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""40.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 0, ""id"": ""bdb06867c031874f3c45012c184f587f"", ""key"": ""48d9a7a33266cf848500fa08060b2163"", ""line_price"": ""40.00"", ""original_line_price"": ""40.00"", ""original_price"": ""40.00"", ""price"": ""40.00"", ""product_id"": ""d32acc0975aad138fe1b597ce6605b8b"", ""properties"": null, ""quantity"": 1, ""sku"": ""4c4468771a31517c809c4171b6a78459"", ""taxable"": ""f827cf462f62848df37c5e1e94a4da74"", ""title"": ""dbe2fd244822b3678bd0417ba0592b13"", ""total_discount"": ""0.00"", ""variant"": ""5ba5086e0382552cd50dd38a1f0088f9""}]'",'2023-09-15T23:18:51Z'
'e175583f3bb5a1949e9005705477d7ee','db30dddf40e2929e9cc70d087f94a5a0',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""40.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 0, ""id"": ""bdb06867c031874f3c45012c184f587f"", ""key"": ""48d9a7a33266cf848500fa08060b2163"", ""line_price"": ""40.00"", ""original_line_price"": ""40.00"", ""original_price"": ""40.00"", ""price"": ""40.00"", ""product_id"": ""d32acc0975aad138fe1b597ce6605b8b"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""4c4468771a31517c809c4171b6a78459"", ""taxable"": ""f827cf462f62848df37c5e1e94a4da74"", ""title"": ""dbe2fd244822b3678bd0417ba0592b13"", ""total_discount"": ""0.00"", ""variant"": ""5ba5086e0382552cd50dd38a1f0088f9""}]'",'2023-09-15T23:19:06Z'
'9892a75b715759a3bd061dad0245121b','e4e080c8975f75f16baa56daab429805','','2023-09-24T18:38:26Z'
'9892a75b715759a3bd061dad0245121b','e4e080c8975f75f16baa56daab429805',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": null, ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-09-24T18:38:41Z'
'9892a75b715759a3bd061dad0245121b','e4e080c8975f75f16baa56daab429805',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-09-24T18:38:59Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-09-29T21:01:03Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-09-29T21:25:52Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-10-06T17:43:18Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""398.00"", ""original_line_price"": ""398.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 2, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T17:45:13Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-10-06T17:53:45Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-10-06T17:53:48Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T17:53:59Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T17:55:27Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T18:18:07Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T18:18:13Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T18:25:44Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""988f99eef924378555e4c1cdeb4bf573"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T18:36:17Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""3d6afb4f4cfa4db2be6e5d785ab3002b"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T22:52:45Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""3d6afb4f4cfa4db2be6e5d785ab3002b"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T22:52:48Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d',"'[{""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discounted_price"": ""199.00"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""id"": ""8bc14d8f92c61965a563ff90797b2bc2"", ""key"": ""3d6afb4f4cfa4db2be6e5d785ab3002b"", ""line_price"": ""199.00"", ""original_line_price"": ""199.00"", ""original_price"": ""199.00"", ""price"": ""199.00"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""99914b932bd37a50b983c5e7c90ae93b"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'2023-10-06T22:53:57Z'
'db378e3bf9d9434c9559628a6f600cf3','0c4e26607588afc2ebc0f1655678184d','','2023-09-29T21:25:22Z'
