ANONYMOUS_ID,USER_ID,TOTAL_PRICE_USD,PRODUCTS,PAYMENT_DETAILS_CREDIT_CARD_COMPANY,TOKEN,CART_TOKEN,FULFILLMENT_STATUS,FINANCIAL_STATUS,ORDER_NUMBER,TIMESTAMP
'77fdaab17de6c0ff9d92eda71f72131f','3b7ec162500ba79785b1f7c4b8c7097d','40',"'[{""admin_graphql_api_id"": ""7f05c24076477ab984020aadcc6b2789"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""d867928921819370c4cf6620882f304b"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 0, ""price"": ""40.00""}]'",'89fc0d6fe12b0e0c1af5c7a0373435a6','f890445fa8696a430d221bd1b3ca8c89','5b19b2293785aef05dccde81c99ba947','','paid','314','2023-05-13T13:25:24Z'
'1fe156e50aebe4b213fbf15a2146b368','0b287d8a4440e72a76efe30ebd5c9031','40',"'[{""admin_graphql_api_id"": ""755aede9ffc0e52b7030632b74c4f862"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 0, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""b25b4fb45bd939699000aebd9fef8fbe"", ""fulfillment_status"": ""8c45e5e35cbc7441a970964edc5752b9"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 0, ""price"": ""40.00""}]'",'89fc0d6fe12b0e0c1af5c7a0373435a6','0a9d2e570f7c74dc17b589d9bcae9f22','','fulfilled','paid','123','2023-06-02T15:48:46Z'
'e175583f3bb5a1949e9005705477d7ee','ebf843b744623cda22571e9cfb47f79d','40',"'[{""admin_graphql_api_id"": ""6c45a63e0d254b28d4e0ca947df52c4a"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 0, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""39ebeafaa1531810f095ab52cb76de5e"", ""fulfillment_status"": ""8c45e5e35cbc7441a970964edc5752b9"", ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 0, ""price"": ""40.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""d32acc0975aad138fe1b597ce6605b8b"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""4c4468771a31517c809c4171b6a78459"", ""taxable"": ""f827cf462f62848df37c5e1e94a4da74"", ""title"": ""dbe2fd244822b3678bd0417ba0592b13"", ""total_discount"": ""0.00"", ""variant"": ""5ba5086e0382552cd50dd38a1f0088f9""}]'",'89fc0d6fe12b0e0c1af5c7a0373435a6','e42fde2d5e975d5edd995d94d22c3e32','db30dddf40e2929e9cc70d087f94a5a0','fulfilled','paid','123','2023-09-15T23:22:34Z'
'2dd1e475d1efd6c7d9e9f116023b8a07','748c9d55d8c24f806d8da2f5e5c18940','106.98',"'[{""admin_graphql_api_id"": ""73f71b2758a19e690e7c71bdfc578ffe"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""2bcc47503b8baf56b9070e8e7763931a"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""62c48577504a2e84eb4300e7a0799ee8"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 408, ""price"": ""199.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'','c63dec904868098a2be5f799cf446097','df1421ab7a5bff16ce3a22e6fa88a60c','','paid','','2023-11-28T22:24:46Z'
'02cfa7180a1bd99a5cb934cefd3b9ec9','f7f6dc56cf78cd50fca9216a34dc794a','245.32',"'[{""admin_graphql_api_id"": ""9b3b54969e34fa529ceb34a9a192080b"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""671ec45e09328d52b0d6815ef1964f57"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""c732909fb8f9d8f2fbd095687f67d27d"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 318, ""price"": ""299.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""88972873e6a12e9a28911b9b16ff86ea"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""2efc50d75ab9b5952286b9ead2bcf4fc"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""76695cdea34593fd2dd7dc57ef6ad0d1"", ""total_discount"": ""0.00"", ""variant"": ""32baae684cd7e6904d67b9c6a5909b94""}]'",'b48167465ffc278e8096a57fb3e5cf24','b698312eee45a2b149287d3c51f751b6','f73274aa053d9cae4a82f5ee580d9296','','paid','','2023-11-30T21:02:53Z'
'10090ca53db3841abb8efa552a2995f5','f162541895112d804e98bf3307e2413f','206.54',"'[{""admin_graphql_api_id"": ""79772216f0fdf277bdb06e9459d98c79"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""0272d295e9e169d1b1f5452dcfb98c45"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""price"": ""199.00""}]'",'89fc0d6fe12b0e0c1af5c7a0373435a6','ac20d7503335dbdfcc6c1b736c19768a','','','paid','','2023-06-20T23:14:00Z'
'9892a75b715759a3bd061dad0245121b','3ab8c1a8ed3230364328eb2e2f670239','189.53',"'[{""admin_graphql_api_id"": ""1606016c5477c3b4a02d73aac854639b"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""980d9368106c008ce744f15912b26047"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""fcaf6ae7b173f8047e3256e1a2659514"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 510, ""price"": ""199.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'b48167465ffc278e8096a57fb3e5cf24','ad19d9074064e9535a76acfbd783a815','e4e080c8975f75f16baa56daab429805','','paid','','2023-09-24T18:44:59Z'
'9378f0b8b8f60622524ecd0a12c0e4ba','b23bf219a29f220cc762091c98f1ddb0','204.74',"'[{""admin_graphql_api_id"": ""3687404331d4940a204986f55cfd12e0"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""2bcc47503b8baf56b9070e8e7763931a"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""62e52bdee825c25f4d1fb630b45340d7"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 318, ""price"": ""299.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""88972873e6a12e9a28911b9b16ff86ea"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""2efc50d75ab9b5952286b9ead2bcf4fc"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""76695cdea34593fd2dd7dc57ef6ad0d1"", ""total_discount"": ""0.00"", ""variant"": ""32baae684cd7e6904d67b9c6a5909b94""}]'",'b993f20c6e3b73949a96e934a76bbfef','0652565fae9280f652a8202e27ff3f3c','8df9171ab0d5398841aaebb6e2f2992f','','paid','','2023-11-29T08:29:11Z'
'b12c2196fbc234a70a30d98fbd3f08b6','b23bf219a29f220cc762091c98f1ddb0','156.25',"'[{""admin_graphql_api_id"": ""ff9e8601811fb21985dba499d995f970"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""a2a2629d9685576179c953a287481961"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 408, ""price"": ""149.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""6e8ed97574c4b7f0159ff97f061f752c"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""6e9717d93b7ceda8df9037b3b926945d"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""0431ded36f7c833e9ce717d62368bb40"", ""total_discount"": ""0.00"", ""variant"": ""002d921974f813fdaafae6fb70427ad6""}]'",'b993f20c6e3b73949a96e934a76bbfef','9ddc3225eafd2bc2652936c02759dbe6','3fb0a3addb456a8cc1243e02e38d7b24','','paid','','2023-12-06T19:47:05Z'
'd31d931979033844f20b5beee33db2bf','b23bf219a29f220cc762091c98f1ddb0','254.74',"'[{""admin_graphql_api_id"": ""b942114af3e97448b8a1fe43f3ce2c0f"", ""brand"": ""fc3a9063b832ca97517910994b47c0e7"", ""discount_allocations"": ""d751713988987e9331980363e24189ce"", ""duties"": [], ""fulfillable_quantity"": 1, ""fulfillment_service"": ""3c78b35502b2693fefdfc51cba3a53a5"", ""id"": ""8117e65d4e350ba35f41a73f6b38967c"", ""fulfillment_status"": null, ""gift_card"": ""f8320b26d30ab433c5a54546d21f414c"", ""grams"": 318, ""price"": ""249.00"", ""product_exists"": ""f827cf462f62848df37c5e1e94a4da74"", ""product_id"": ""88972873e6a12e9a28911b9b16ff86ea"", ""properties"": ""d751713988987e9331980363e24189ce"", ""quantity"": 1, ""sku"": ""2efc50d75ab9b5952286b9ead2bcf4fc"", ""taxable"": ""f8320b26d30ab433c5a54546d21f414c"", ""title"": ""76695cdea34593fd2dd7dc57ef6ad0d1"", ""total_discount"": ""0.00"", ""variant"": ""32baae684cd7e6904d67b9c6a5909b94""}]'",'b993f20c6e3b73949a96e934a76bbfef','83fb17c1a5bb2de62c14b9c3ea9a4082','','','paid','','2023-12-07T20:53:33Z'
