ORDER_NUMBER,USER_ID,FULFILLMENT_STATUS,TIMESTAMP
'1027','6716001255680','','2024-06-16T14:34:08Z'
'1025','6715981529344','fulfilled','2024-06-16T14:34:21Z'
'1026','6715981529344','','2024-06-16T14:34:43Z'
'1027','6716001255680','fulfilled','2024-06-16T14:33:41Z'
'1026','6715981529344','','2024-06-16T14:34:42Z'
'1030','6720908951808','','2024-06-19T14:40:02Z'
'1029','6720908329216','','2024-06-19T14:38:56Z'
'1035','6720917078272','','2024-06-19T14:51:07Z'
'1031','6720908132608','','2024-06-19T14:42:18Z'
'1028','6720901906688','','2024-06-19T14:31:07Z'
'1037','6721008599296','','2024-06-19T17:01:51Z'
'1034','6720908132608','','2024-06-19T14:46:17Z'
'1036','6720917307648','','2024-06-19T14:51:21Z'
'1032','6720911278336','','2024-06-19T14:42:29Z'
'1033','6720912294144','','2024-06-19T14:44:16Z'
'1027','6716001255680','','2024-06-15T15:26:55Z'
'1026','6715981529344','','2024-06-15T15:14:42Z'
'1038','6721827340544','','2024-06-20T14:59:20Z'
