ANONYMOUS_ID,USER_ID,TIMESTAMP,CONTEXT_SESSION_ID,CONTEXT_CAMPAIGN_NAME,CONTEXT_CAMPAIGN_MEDIUM,CONTEXT_CAMPAIGN_SOURCE
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:24','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:27','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:30','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:33','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:36','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:39','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:45','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:48','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:43:54','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:44:00','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:44:12','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:44:15','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:44:23','1668401002896','','',''
'20e54d59ab471ea53c8ab2d1acca93eb','7dbfb93c8a783b7c360862c283862b08','2022-11-14 04:44:32','1668401002896','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:07:49','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:07:51','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:00','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:01','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:06','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:09','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:21','1668416867790','','',''
'f90f2af462d846ca22d304493afe0fcb','7a013b64f52f6cf5b670919de767e8f8','2022-11-14 09:08:24','1668416867790','','',''
